"solarSystemID","solarSystemName","regionID","regionName","security"
"30000001","Tanoo","10000001","Derelik","0.858324"
"30000002","Lashesih","10000001","Derelik","0.751689"
"30000003","Akpivem","10000001","Derelik","0.846292"
"30000004","Jark","10000001","Derelik","0.817001"
"30000005","Sasta","10000001","Derelik","0.814337"
"30000006","Zaid","10000001","Derelik","0.864229"
"30000007","Yuzier","10000001","Derelik","0.906556"
"30000008","Nirbhi","10000001","Derelik","0.882116"
"30000009","Sooma","10000001","Derelik","0.577819"
"30000010","Chidah","10000001","Derelik","0.539052"
"30000011","Shenela","10000001","Derelik","0.456959"
"30000012","Asabona","10000001","Derelik","0.322884"
"30000013","Onsooh","10000001","Derelik","0.442817"
"30000014","Shamahi","10000001","Derelik","0.355242"
"30000015","Sendaya","10000001","Derelik","0.293933"
"30000016","Nazhgete","10000001","Derelik","0.391497"
"30000017","Futzchag","10000001","Derelik","0.172229"
"30000018","Kazna","10000001","Derelik","0.231263"
"30000019","Podion","10000001","Derelik","0.109705"
"30000020","Lilmad","10000001","Derelik","0.160449"
"30000021","Kuharah","10000001","Derelik","0.189705"
"30000022","Jayneleb","10000001","Derelik","0.11384"
"30000023","Fovihi","10000001","Derelik","0.869394"
"30000024","Kiereend","10000001","Derelik","0.840835"
"30000025","Rashy","10000001","Derelik","0.803266"
"30000026","Ordize","10000001","Derelik","0.695564"
"30000027","Psasa","10000001","Derelik","0.749913"
"30000028","Eshtah","10000001","Derelik","0.768433"
"30000029","Lachailes","10000001","Derelik","0.573051"
"30000030","Kasrasi","10000001","Derelik","0.573076"
"30000031","Mohas","10000001","Derelik","0.681783"
"30000032","Hasiari","10000001","Derelik","0.798188"
"30000033","Radima","10000001","Derelik","0.75392"
"30000034","Alkez","10000001","Derelik","0.782123"
"30000035","Nimambal","10000001","Derelik","0.594051"
"30000036","Yishinoon","10000001","Derelik","0.424718"
"30000037","Uplingur","10000001","Derelik","0.422069"
"30000038","Dooz","10000001","Derelik","0.423729"
"30000039","Bayuka","10000001","Derelik","0.400722"
"30000040","Uzistoon","10000001","Derelik","0.390646"
"30000041","Bairshir","10000001","Derelik","0.364088"
"30000042","Moh","10000001","Derelik","0.472835"
"30000043","Sari","10000001","Derelik","0.379343"
"30000044","Faspera","10000001","Derelik","0.128258"
"30000045","Jaymass","10000001","Derelik","0.216311"
"30000046","Mifrata","10000001","Derelik","0.303803"
"30000047","Majamar","10000001","Derelik","0.369186"
"30000048","Ihal","10000001","Derelik","0.492701"
"30000049","Camal","10000001","Derelik","0.212977"
"30000050","Fera","10000001","Derelik","0.477246"
"30000051","Juddi","10000001","Derelik","0.649137"
"30000052","Maspah","10000001","Derelik","0.799901"
"30000053","Ibaria","10000001","Derelik","0.730979"
"30000054","Shala","10000001","Derelik","0.715564"
"30000055","Zemalu","10000001","Derelik","0.725159"
"30000056","Khankenirdia","10000001","Derelik","0.613596"
"30000057","Nikh","10000001","Derelik","0.774198"
"30000058","Amphar","10000001","Derelik","0.702187"
"30000059","Salashayama","10000001","Derelik","0.665586"
"30000060","Janus","10000001","Derelik","0.545571"
"30000061","Agha","10000001","Derelik","0.718783"
"30000062","Iosantin","10000001","Derelik","0.450343"
"30000063","Orva","10000001","Derelik","0.50995"
"30000064","Zet","10000001","Derelik","0.569698"
"30000065","Akhrad","10000001","Derelik","0.358477"
"30000066","Pirohdim","10000001","Derelik","0.628696"
"30000067","Sharir","10000001","Derelik","0.396849"
"30000068","Usroh","10000001","Derelik","0.597458"
"30000069","Thiarer","10000001","Derelik","0.542033"
"30000070","Gomati","10000001","Derelik","0.387421"
"30000071","Jangar","10000001","Derelik","0.527329"
"30000072","Nakah","10000001","Derelik","0.363864"
"30000073","Irshah","10000001","Derelik","0.429507"
"30000074","Hasateem","10000001","Derelik","0.426496"
"30000075","Assah","10000001","Derelik","0.297802"
"30000076","Tidacha","10000001","Derelik","0.820099"
"30000077","Odlib","10000001","Derelik","0.824517"
"30000078","Jofan","10000001","Derelik","0.779548"
"30000079","Milu","10000001","Derelik","0.769625"
"30000080","Yadi","10000001","Derelik","0.750268"
"30000081","Buftiar","10000001","Derelik","0.708741"
"30000082","Jarizza","10000001","Derelik","0.765431"
"30000083","Ejahi","10000001","Derelik","0.72891"
"30000084","Asghatil","10000001","Derelik","0.794778"
"30000085","Bar","10000001","Derelik","0.665838"
"30000086","Sucha","10000001","Derelik","0.658265"
"30000087","Gelhan","10000001","Derelik","0.701676"
"30000088","Akeva","10000001","Derelik","0.664835"
"30000089","Sosa","10000001","Derelik","0.301179"
"30000090","Ilahed","10000001","Derelik","0.315943"
"30000091","Eshwil","10000001","Derelik","0.218968"
"30000092","Aranir","10000001","Derelik","0.242789"
"30000093","Ishkad","10000001","Derelik","0.366036"
"30000094","Hahyil","10000001","Derelik","0.208115"
"30000095","Asilem","10000001","Derelik","0.284998"
"30000096","Mahnagh","10000001","Derelik","0.205003"
"30000097","Shach","10000001","Derelik","0.326043"
"30000098","Kehrara","10000001","Derelik","0.364844"
"30000099","Arena","10000001","Derelik","0.44233"
"30000100","Timeor","10000001","Derelik","0.314131"
"30000101","Uhtafal","10000001","Derelik","0.499612"
"30000102","Dysa","10000001","Derelik","0.236195"
"30000103","Serad","10000001","Derelik","0.525836"
"30000104","Mahti","10000001","Derelik","0.228282"
"30000105","Abha","10000001","Derelik","0.434101"
"30000106","Shedoo","10000001","Derelik","0.506118"
"30000107","Gamis","10000001","Derelik","0.473906"
"30000108","Nieril","10000001","Derelik","0.35344"
"30000109","Berta","10000001","Derelik","0.489557"
"30000110","Bekirdod","10000001","Derelik","0.405349"
"30000111","Hothomouh","10000001","Derelik","0.422981"
"30000112","Arnola","10000001","Derelik","0.462835"
"30000113","Astabih","10000001","Derelik","0.408818"
"30000114","Ubtes","10000001","Derelik","0.336073"
"30000115","Bimener","10000001","Derelik","0.270041"
"30000116","Kenobanala","10000001","Derelik","0.289398"
"30000117","Khabi","10000001","Derelik","0.248619"
